no	year	d_or_f	rank	title	author	translator	label	score
0891	2016年	海外篇	24位	『ロックイン―統合捜査―』	ジョン・スコルジー	内田昌之訳	新☆ハヤカワ・SF・シリーズ	051点
0892	2016年	海外篇	25位	『水の継承者 ノリア』	エンミ・イタランタ	末延弘子訳	西村書店	046点
0893	2016年	海外篇	26位	『帰還兵の戦場(全3巻)』	ギャビン・スミス	金子浩訳	創元SF文庫	043点
0894	2016年	海外篇	26位	『世界の誕生日』	アーシュラ・K・ル・グィン	小尾芙佐訳	ハヤカワ文庫SF	043点
0895	2016年	海外篇	28位	『世界の終わりの七日間』	ベン・H・ウィンタース	上野元美訳	ハヤカワ・ミステリ	040点
0896	2016年	海外篇	29位	『カエアンの聖衣〔新訳版〕』	バリントン・J・ベイリー	大森望訳	ハヤカワ文庫SF	038点
0897	2016年	海外篇	30位	『月の山脈と世界の終わり』	マーク・ホダー	金子司訳	創元海外SF叢書	034点
0898	2016年	海外篇	30位	『人形つくり』	サーバン	館野浩美訳	国書刊行会・ドーキー・アーカイヴ	034点
0899	2017年	国内篇	01位	『自生の夢』	飛浩隆		河出書房新社	399点
0900	2017年	国内篇	02位	『ゲームの王国(上・下)』	小川哲		早川書房	347点
0901	2017年	国内篇	03位	『公正的戦闘規範』	藤井太洋		ハヤカワ文庫JA	274点
0902	2017年	国内篇	04位	『ザ・ビデオ・ゲーム・ウィズ・ノーネーム』	赤野工作		カドカワBOOKS	187点
0903	2017年	国内篇	05位	『あとは野となれ大和撫子』	宮内悠介		角川書店	167点
0904	2017年	国内篇	06位	『横浜駅SF』	柞刈湯葉		カドカワBOOKS	137点
0905	2017年	国内篇	07位	『裏世界ピクニック ふたりの怪異探検ファイル』	宮澤伊織		ハヤカワ文庫JA	128点
0906	2017年	国内篇	08位	『ここから先は何もない』	山田正紀		河出書房新社	094点
0907	2017年	国内篇	09位	『もはや宇宙は迷宮の鏡のように』	荒巻義雄		彩流社	081点
0908	2017年	国内篇	10位	『BLAME! THE ANTHOLOGY』	九岡望、小川一水、野﨑まど、酉島伝法、飛浩隆 / 弐瓶勉原作		ハヤカワ文庫JA	080点
0909	2017年	国内篇	11位	『機龍警察 狼眼殺手』	月村了衛		ハヤカワ・ミステリワールド	072点
